Pair,Condtion,Game,Time,Time2,Time3
6,normal,15,12850.0,1238410279250.0,1238410292100.0
6,normal,16,7958.0,1238410297142.0,1238410305100.0
6,normal,17,15600.0,1238410310500.0,1238410326100.0
6,normal,18,11975.0,1238410331125.0,1238410343100.0
6,normal,19,16900.0,1238410348200.0,1238410365100.0
6,normal,20,16975.0,1238410370125.0,1238410387100.0
6,normal,21,9899.0,1238410392100.0,1238410401999.0
6,normal,22,17767.0,1238410406333.0,1238410424100.0
6,normal,23,11600.0,1238410429500.0,1238410441100.0
6,normal,24,12850.0,1238410446250.0,1238410459100.0
6,normal,25,13000.0,1238410464100.0,1238410477100.0
6,normal,26,7934.0,1238410482166.0,1238410490100.0
6,normal,27,14888.0,1238410495111.0,1238410509999.0
6,normal,28,15850.0,1238410514250.0,1238410530100.0
6,normal,29,9600.0,1238410535500.0,1238410545100.0
6,normal,30,11900.0,1238410550200.0,1238410562100.0
6,normal,31,12850.0,1238410567250.0,1238410580100.0
6,normal,32,8600.0,1238410585500.0,1238410594100.0
6,normal,33,6767.0,1238410599333.0,1238410606100.0
6,normal,34,8499.0,1238410611500.0,1238410619999.0
6,normal,35,13600.0,1238410624500.0,1238410638100.0
6,normal,36,9874.0,1238410643125.0,1238410652999.0
6,normal,37,8850.0,1238410657250.0,1238410666100.0
6,normal,38,20958.0,1238410671142.0,1238410692100.0
6,normal,39,12900.0,1238410697200.0,1238410710100.0
6,normal,40,9900.0,1238410715200.0,1238410725100.0
6,normal,41,9850.0,1238410730250.0,1238410740100.0
6,normal,42,6767.0,1238410745333.0,1238410752100.0
6,normal,43,7934.0,1238410757166.0,1238410765100.0
6,normal,44,7600.0,1238410770500.0,1238410778100.0
6,normal,45,6850.0,1238410783250.0,1238410790100.0
6,normal,46,7799.0,1238410795200.0,1238410802999.0
6,normal,47,5850.0,1238410807250.0,1238410813100.0
6,normal,48,6799.0,1238410818200.0,1238410824999.0
6,normal,49,5850.0,1238410829250.0,1238410835100.0
6,normal,50,7499.0,1238410840500.0,1238410847999.0
6,normal,51,7000.0,1238410852100.0,1238410859100.0
6,normal,52,10600.0,1238410864500.0,1238410875100.0
6,normal,53,6833.0,1238410880166.0,1238410886999.0
6,normal,54,7899.0,1238410891100.0,1238410898999.0
6,normal,55,6000.0,1238410903100.0,1238410909100.0
6,normal,56,7767.0,1238410914333.0,1238410922100.0
7,modified,0,36975.0,1238411760125.0,1238411797100.0
7,modified,1,37000.0,1238411802100.0,1238411839100.0
7,modified,2,40000.0,1238411843100.0,1238411883100.0
7,modified,3,8958.0,1238411888142.0,1238411897100.0
7,modified,4,10499.0,1238411902500.0,1238411912999.0
7,modified,5,18767.0,1238411917333.0,1238411936100.0
7,modified,6,7850.0,1238411941250.0,1238411949100.0
7,modified,7,8900.0,1238411954200.0,1238411963100.0
