"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Xratio","Zratio"
2,"modified",41,0.225784454185136,0.110175321416076,0.177538556609299,"director",1,"freedom",0,0,27,1.67878449708223,2.63287247717381,1.56832069973829,0.637624690005604
2,"modified",42,0.00363829038988965,0.00150496533587721,0.00127019885840283,"matcher",1,"war",0,0,27,0.0248124897480011,0.0622076094150538,2.50710872011807,0.398865829780571
2,"modified",43,0.290610748937397,0.0853593103525794,0.0934351640706065,"director",1,"reality",0,0,27,0.577497848309577,2.67528083920479,4.63253819392702,0.215864383225364
2,"modified",44,0.00518262602596283,0.00186872396096936,0.00209213224971845,"matcher",1,"freedom",0,0,27,0.0164346992969513,0.0485758632421494,2.95568920151526,0.338330565841409
2,"modified",45,0.221576203218884,0.0513540471455392,0.134986472801086,"director",1,"fear",0,0,27,3.45279227942228,3.3465169314295,0.969220462920359,1.03175700292883
2,"modified",46,0.0267770094093537,0.0339042571531549,0.0707627268851749,"matcher",1,"anger",0,0,27,0.16770339012146,0.0839398689568042,0.500525772889924,1.99789911761431
2,"modified",47,0.361927603342674,0.140744714978951,0.102235459542409,"director",1,"luxury",0,0,27,0.781439575366676,2.54732545465231,3.25978557389677,0.306768643927886
2,"modified",48,0.00634455488967791,0.00237984657752528,0.00217377165710496,"matcher",0,"envy",0,0,27,0.025167152285576,0.0671208426356314,2.66700188698347,0.374952865568107
2,"modified",49,0.0158585921554177,0.0116111380810336,0.0147507438453805,"director",1,"death",0,0,27,0.109257228672504,0.10689602792263,0.978388608437512,1.0220887604129
2,"modified",50,0.0393294540614803,0.0685098976190922,0.0353954913470262,"matcher",1,"anger",0,0,27,0.0923584699630735,0.152380287647247,1.6498788655569,0.606105103154017
2,"modified",51,0.02033227876952,0.126921773224708,0.0635425286756059,"director",1,"strength",0,0,27,0.810989897698164,0.263914987444878,0.32542327369792,3.0729209642463
2,"modified",52,0.00337763016672477,0.00283497288851521,0.00149200669636024,"matcher",1,"freedom",0,0,27,0.0176057480275634,0.0283930599689488,1.61271534299462,0.620072230566814
2,"modified",53,0.157711187191344,0.0960109293538206,0.0795666356748771,"director",0,"envy",0,0,27,2.0739606693387,2.09286201000214,1.00911364470063,0.990968663689674
2,"modified",54,0.00141256436986154,0.002434318183941,0.000374882902081224,"matcher",1,"luxury",0,0,27,0.00885250419378296,0.0390077233314519,4.40640551843474,0.226942344688063
2,"modified",55,0.0402607706949911,0.12160824340686,0.122222842079025,"director",1,"war",0,0,27,1.82439958304167,0.513085439801216,0.281235231892452,3.55574226341034
2,"modified",56,0.00278998868895241,0.00251464065582422,0.000949982977649263,"matcher",1,"death",0,0,27,0.0233139097690578,0.0565844029188162,2.42706622266828,0.412020072077233
2,"modified",57,0.183122059911187,0.0466977078632897,0.141160401412115,"director",1,"fear",0,0,27,1.16262526065111,0.972769916057587,0.836701170171376,1.19516983559994
2,"modified",58,0.00143857394495609,0.00198897613492352,0.000506520693052451,"matcher",0,"envy",0,0,27,0.0114840865135194,0.0353522449731827,3.07836804708543,0.324847446667981
2,"modified",59,0.0241846434221448,0.093808502202946,0.107445914067921,"director",1,"luck",0,0,27,1.93125569541007,0.457012444734574,0.236640050212271,4.22582736566773
2,"modified",60,0.00390756736844658,0.0028737546770791,0.00134717595802043,"matcher",1,"fear",0,0,27,0.0416902750730518,0.0720011740922923,1.72704962886736,0.579022156216682
2,"modified",61,0.349939451762734,0.108592301060752,0.107301230615249,"director",1,"luxury",0,0,27,0.396678183227777,1.01254736632109,2.55256630975258,0.391762594444384
2,"modified",62,0.0687140787185397,0.0390122445275578,0.0607805945667937,"matcher",1,"envy",0,0,27,0.146095514297485,0.179816462099552,1.23081439539206,0.812470185386044
2,"modified",63,0.0273694340218424,0.0915774581652588,0.101062814680433,"director",1,"luck",0,0,27,1.62353926885407,0.420854195952416,0.259220213533525,3.85772384941991
2,"modified",64,0.00421334940493666,0.00314897484177636,0.00102330993521267,"matcher",1,"luck",0,0,27,0.0268874764442445,0.0543790459632873,2.02246745156805,0.494445534450842
2,"modified",65,0.252367396990608,0.089299486366205,0.0978167055206489,"director",1,"envy",0,0,27,0.421019058558158,2.16245011147112,5.13622855667566,0.194695385722327
2,"modified",66,0.00471181165824034,0.00123107981544193,0.000382674371772126,"matcher",1,"luxury",0,0,27,0.0109106078743934,0.0496805906295777,4.553420964397,0.219615099903777
2,"modified",67,0.044370890023921,0.100927823602577,0.140351922564757,"director",1,"war",0,0,27,1.46280264854431,0.442514456808567,0.302511386104564,3.30566069884836
2,"modified",68,0.00328407703603044,0.00149390546814161,0.00112716812483688,"matcher",0,"war",0,0,27,0.0264091789722443,0.0554146319627761,2.09830953173577,0.476574111147834
2,"modified",69,0.231778659920197,0.0662631994296153,0.123029129506475,"director",0,"fear",0,0,27,1.70784424245357,1.87271030899137,1.09653460335525,0.911963924293986
2,"modified",70,0.00903533568873684,0.00210649018005082,0.00340153531696635,"matcher",0,"war",0,0,27,0.0399207323789596,0.0747213959693909,1.87174411681819,0.534261062190445
2,"modified",71,0.00378613032288654,0.049322271885952,0.0122597959248876,"director",1,"death",0,0,27,0.0439960360527034,0.0416983217000968,0.94777451428001,1.05510328135344
2,"modified",72,0.000814574838677285,0.00122921235585744,0.000899210077271019,"matcher",1,"luck",0,0,27,0.017500832676887,0.0215561091899879,1.23171906091398,0.81187344722746
2,"modified",73,0.192526753008806,0.238433294144398,0.0845718546267499,"director",1,"anger",0,0,27,2.24955684189626,4.18235092423856,1.85918881725747,0.537868983891116
