"Pair","Condtion","Game","X","Y","Z","Role","Success","Target","Introducer","Succ_Introducer","Participant","Zdif","Xdif","Zratio","Xratio"
15,"modified",2,0.07783585973132,0.153664135182427,0.052922345855288,"director",1,"envy",1,1,15,3.41927080601454,3.95351029932499,0.864869583518812,1.1562436915996
15,"modified",3,0.00644567784470892,0.00962201915832448,0.00543816165993434,"matcher",1,"freedom",0,0,15,0.11028641462326,0.167873412370682,0.656961772956253,1.52215858085641
15,"modified",4,0.287993411137304,0.296577676237735,0.114130247391877,"director",1,"freedom",1,1,15,3.16373901255429,5.22623735293746,0.605356932512083,1.65191797812614
15,"modified",5,0.00719391476370139,0.00258889589504838,0.00599647996808344,"matcher",0,"envy",0,0,15,0.187233328819275,0.302317008376121,0.619327803701777,1.61465381341337
15,"modified",6,0.432606927825372,0.227431425010313,0.0784860954645359,"director",0,"death",1,0,15,3.07151573896408,6.35591916739941,0.483252800746493,2.06931030395535
15,"modified",7,0.052974219490308,0.00827948879156264,0.0477750827739551,"matcher",0,"strength",0,0,15,0.323350295424461,0.435705900192261,0.742129714749739,1.34747333266021
15,"modified",8,0.183173192940983,0.222420223635706,0.112618686802622,"director",1,"reality",1,1,15,2.91287246346474,5.22276640683412,0.557725970599253,1.7929952211577
15,"modified",9,0.031347464854568,0.111148900042795,0.0572637510380123,"matcher",1,"strength",0,0,15,0.415675699710846,0.392295926809311,1.05959728690454,0.943754775855797
15,"modified",10,0.150720923832076,0.220285961267831,0.113867761960576,"director",1,"luxury",0,0,15,3.2132299952209,3.31922647356987,0.968065909574717,1.03298751676868
15,"modified",11,0.0567930295382153,0.0806942163851571,0.0545263815661432,"matcher",1,"war",0,0,15,0.970413252711297,1.10748402774334,0.876232278210509,1.1412499001318
15,"modified",12,0.178511986862601,0.31346062858345,0.105142349051389,"director",1,"freedom",0,0,15,0.899090759456157,1.24833342060447,0.720232867770856,1.38843982932219
15,"modified",13,0.000709598370739265,0.00144985854241741,0.000800745477706332,"matcher",0,"anger",0,0,15,0.0260959863662726,0.0313383340835567,0.832717728284263,1.20088712661421
15,"modified",14,0.0433464960196311,0.153378336438253,0.0859219732350056,"director",1,"envy",0,0,15,3.12697194889188,1.94912917912006,1.60429179470986,0.623328002609933
15,"modified",15,0.01597767922804,0.00593954437477772,0.0136543112905931,"matcher",0,"fear",0,0,15,0.149465829133988,0.240008994936942,0.622750948035331,1.60577836638358
15,"modified",16,0.173939149061407,0.282609256417686,0.0969482796065154,"director",1,"freedom",0,0,15,0.700333239510656,1.40271681547165,0.499269155246546,2.00292765834129
15,"modified",17,0.0169223551812596,0.00526738516923423,0.0116560403041463,"matcher",0,"luck",0,0,15,0.111908435821534,0.188606455922127,0.593343612096392,1.68536406158788
15,"modified",18,0.184152149656028,0.335515361327263,0.172979762472661,"director",1,"war",1,1,15,6.86270175594836,7.40897091012448,0.926269226751906,1.07959972232549
15,"modified",19,0.0190169642286589,0.0120529158926824,0.00527405507753485,"matcher",0,"fear",0,0,15,0.0846295058727262,0.201447203755379,0.420107622717331,2.38034243114139
15,"modified",20,0.118191732504695,0.285159013771962,0.198735702388504,"director",1,"war",0,0,15,2.18965841829777,1.76575766503811,1.24006734426409,0.806407816983072
